ID	Description	GeneRatio	pvalue	p.adjust	geneID	method	gene.name	list.name	list.count
GO:0045211	postsynaptic membrane	15/350	0.00139975971460831	0.0346941851776341	1399/1630/1740/10160/2550/2560/2890/2897/2911/2917/22871/57555/4851/57451/7402	GO	CRKL/DCC/DLG2/FARP1/GABBR1/GABRB1/GRIA1/GRIK1/GRM1/GRM7/NLGN1/NLGN2/NOTCH1/TENM2/UTRN	Zhang/PL	2
GO:0034703	cation channel complex	12/350	0.00145231472836608	0.0346941851776341	9472/773/776/55799/1740/1804/2897/80333/3773/5142/6262/6263	GO	AKAP6/CACNA1A/CACNA1D/CACNA2D3/DLG2/DPP6/GRIK1/KCNIP4/KCNJ16/PDE4B/RYR2/RYR3	PL/Zhang	2
GO:0042383	sarcolemma	9/350	0.00174936799049065	0.0395909597847883	9472/51130/776/3480/9722/64091/6262/6263/7402	GO	AKAP6/ASB3/CACNA1D/IGF1R/NOS1AP/POPDC2/RYR2/RYR3/UTRN	PL	1
GO:0060076	excitatory synapse	6/350	0.00228046388808977	0.04902997359393	10458/23191/2890/22871/57555/5142	GO	BAIAP2/CYFIP1/GRIA1/NLGN1/NLGN2/PDE4B	Zhang/PL	2
R-HSA-5683057	MAPK family signaling cascades	25/250	8.06583822235172e-08	7.83192891390352e-05	26523/284/598/815/8556/1740/2342/2885/8844/4343/4893/5290/5691/5692/5693/5695/5698/5702/5705/5713/5781/5924/5979/8831/7529	Reactome	AGO1/ANGPT1/BCL2L1/CAMK2A/CDC14A/DLG2/FNTB/GRB2/KSR1/MOV10/NRAS/PIK3CA/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/PTPN11/RASGRF2/RET/SYNGAP1/YWHAB	Zhang/PL	2
R-HSA-6794362	Protein-protein interactions at synapses	12/250	4.65254950088704e-07	0.000163265598073899	1740/9229/58512/22839/2890/2911/9455/22871/57555/4916/5789/81858	Reactome	DLG2/DLGAP1/DLGAP3/DLGAP4/GRIA1/GRM1/HOMER2/NLGN1/NLGN2/NTRK3/PTPRD/SHARPIN	Zhang/PL	2
R-HSA-5684996	MAPK1/MAPK3 signaling	22/250	5.04425122782386e-07	0.000163265598073899	284/598/815/1740/2342/2885/8844/4893/5290/5691/5692/5693/5695/5698/5702/5705/5713/5781/5924/5979/8831/7529	Reactome	ANGPT1/BCL2L1/CAMK2A/DLG2/FNTB/GRB2/KSR1/NRAS/PIK3CA/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/PTPN11/RASGRF2/RET/SYNGAP1/YWHAB	PL/Zhang	2
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	13/250	1.34235190450493e-06	0.000271425941588963	10768/933/2885/4775/4893/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	AHCYL1/CD22/GRB2/NFATC3/NRAS/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-5673001	RAF/MAP kinase cascade	21/250	1.39766190313575e-06	0.000271425941588963	284/598/815/1740/2342/2885/8844/4893/5290/5691/5692/5693/5695/5698/5702/5705/5713/5924/5979/8831/7529	Reactome	ANGPT1/BCL2L1/CAMK2A/DLG2/FNTB/GRB2/KSR1/NRAS/PIK3CA/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/RASGRF2/RET/SYNGAP1/YWHAB	PL/Zhang	2
R-HSA-5658442	Regulation of RAS by GAPs	10/250	2.62857381718999e-06	0.000304926132952601	4893/5691/5692/5693/5695/5698/5702/5705/5713/8831	Reactome	NRAS/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/SYNGAP1	Zhang/PL	2
